iter	RMSE
0	3.545693116
1	3.517038073
2	3.485769255
3	3.457080854
4	3.427265101
5	3.401628481
6	3.368571149
7	3.346592613
8	3.324773545
9	3.300629501
10	3.274611722
11	3.252593177
12	3.226111472
13	3.205968664
14	3.185129658
15	3.16674073
16	3.145114133
17	3.120590427
18	3.102042462
19	3.086906997
20	3.068516451
21	3.047426211
22	3.025468965
23	3.004174156
24	2.989885029
25	2.97269083
26	2.956353585
27	2.942004868
28	2.926703968
29	2.914861937
30	2.899533092
31	2.886239687
32	2.874126419
33	2.85650026
34	2.84368287
35	2.832074903
36	2.813562881
37	2.802636473
38	2.793451561
39	2.780109821
40	2.766688976
41	2.747001141
42	2.734200455
43	2.721957176
44	2.705943127
45	2.692584169
46	2.68264401
47	2.670596469
48	2.660139725
49	2.652379323
50	2.642025702
51	2.633471055
52	2.622771145
53	2.614604478
54	2.606427876
55	2.600599574
56	2.595234917
57	2.586194608
58	2.573461229
59	2.566649104
60	2.551887785
61	2.545695682
62	2.538167071
63	2.532100225
64	2.526881245
65	2.521577165
66	2.513317684
67	2.506434735
68	2.502891599
69	2.493838641
70	2.488095402
71	2.482296523
72	2.475494493
73	2.471231057
74	2.46620625
75	2.456228381
76	2.451439543
77	2.441330921
78	2.436118157
79	2.429011236
80	2.421499093
81	2.414634346
82	2.405819283
83	2.402908598
84	2.396587388
85	2.393455139
86	2.390329518
87	2.38058708
88	2.375752668
89	2.366283101
90	2.362011569
91	2.357738229
92	2.351745819
93	2.346262759
94	2.343429191
95	2.33523615
96	2.33462377
97	2.330292319
98	2.326097878
99	2.321762226
100	2.316931383
101	2.311580881
102	2.307377525
103	2.305121402
104	2.30119711
105	2.295961518
106	2.293926926
107	2.292486416
108	2.286369424
109	2.283253053
110	2.279766059
111	2.272662472
112	2.268034668
113	2.260436714
114	2.255688459
115	2.249758746
116	2.245901235
117	2.24473591
118	2.241124286
119	2.236234264
120	2.23109647
121	2.230835913
122	2.223145613
123	2.218812632
124	2.217982266
125	2.214319171
126	2.212865682
127	2.21107557
128	2.207372822
129	2.2041233
130	2.200199168
131	2.196620054
132	2.193685959
133	2.1924107
134	2.185967563
135	2.184191442
136	2.181531105
137	2.175865031
138	2.168944538
139	2.163752369
140	2.161921729
141	2.157744262
142	2.153757992
143	2.152693258
144	2.14674152
145	2.144546546
146	2.141053794
147	2.138467089
148	2.134813563
149	2.133998821
150	2.13121262
151	2.129712676
152	2.127785698
153	2.123474139
154	2.117909833
155	2.115636723
156	2.111764543
157	2.106431561
158	2.103579175
159	2.098634405
160	2.094278959
161	2.09119344
162	2.086195851
163	2.083979647
164	2.078431233
165	2.074312822
166	2.071416373
167	2.070135994
168	2.06652804
169	2.063383585
170	2.060782544
171	2.058098205
172	2.053369371
173	2.049350938
174	2.048787394
175	2.045458704
176	2.041160063
177	2.038126235
178	2.034365157
179	2.029526254
180	2.02568755
181	2.022439762
182	2.018212812
183	2.017012088
184	2.015756646
185	2.01291637
186	2.008696456
187	2.004678465
188	2.001285574
189	1.998374348
190	1.995714191
191	1.993394472
192	1.989780733
193	1.986257625
194	1.982241251
195	1.979556233
196	1.976760616
197	1.972871373
198	1.969553779
199	1.965658297
200	1.962196919
201	1.958423785
202	1.955163321
203	1.951527265
204	1.947787807
205	1.946783728
206	1.943816283
207	1.940245457
208	1.937894254
209	1.935443101
210	1.931749984
