iter	Passed	Remaining
0	0	194
1	0	149
2	0	120
3	0	100
4	0	100
5	0	100
6	0	99
7	0	94
8	0	95
9	0	94
10	1	90
11	1	90
12	1	90
13	1	88
14	1	86
15	1	84
16	1	84
17	1	84
18	1	84
19	1	84
20	1	82
21	1	80
22	1	79
23	1	80
24	2	78
25	2	78
26	2	77
27	2	77
28	2	77
29	2	76
30	2	76
31	2	75
32	2	75
33	2	75
34	2	74
35	2	73
36	2	73
37	2	73
38	2	73
39	3	73
40	3	73
41	3	73
42	3	73
43	3	73
44	3	73
45	3	73
46	3	73
47	3	73
48	3	73
49	3	73
50	3	72
51	3	72
52	4	72
53	4	72
54	4	72
55	4	72
56	4	71
57	4	72
58	4	72
59	4	71
60	4	72
61	4	72
62	4	72
63	4	72
64	4	71
65	5	71
66	5	71
67	5	71
68	5	71
69	5	71
70	5	71
71	5	71
72	5	71
73	5	71
74	5	71
75	5	71
76	5	71
77	6	71
78	6	71
79	6	71
80	6	71
81	6	71
82	6	71
83	6	70
84	6	70
85	6	70
86	6	70
87	6	70
88	6	70
89	7	70
90	7	70
91	7	70
92	7	70
93	7	70
94	7	70
95	7	70
96	7	70
97	7	70
98	7	70
99	7	70
100	7	70
101	8	70
102	8	70
103	8	70
104	8	70
105	8	70
106	8	70
107	8	70
108	8	70
109	8	69
110	8	69
111	8	70
112	8	70
113	9	70
114	9	70
115	9	70
116	9	70
117	9	69
118	9	70
119	9	69
120	9	70
121	9	69
122	9	69
123	9	69
124	9	69
125	10	69
126	10	69
127	10	69
128	10	69
129	10	69
130	10	69
131	10	68
132	10	68
133	10	68
134	10	68
135	10	68
136	10	68
137	10	68
138	11	68
139	11	68
140	11	68
141	11	68
142	11	68
143	11	67
144	11	67
145	11	67
146	11	67
147	11	67
148	11	67
149	11	67
150	12	67
151	12	67
152	12	67
153	12	67
154	12	67
155	12	66
156	12	66
157	12	66
158	12	66
159	12	66
160	12	66
161	12	66
162	12	66
163	13	66
164	13	66
165	13	66
166	13	66
167	13	66
168	13	66
169	13	66
170	13	65
171	13	65
172	13	65
173	13	65
174	13	65
175	14	65
176	14	65
177	14	65
178	14	65
179	14	65
180	14	65
181	14	65
182	14	65
183	14	65
184	14	65
185	14	65
186	14	65
187	15	65
188	15	65
189	15	64
190	15	64
191	15	64
192	15	64
193	15	64
194	15	64
195	15	64
196	15	64
197	15	64
198	16	64
199	16	64
200	16	64
201	16	64
202	16	64
203	16	64
204	16	64
205	16	63
206	16	63
207	16	63
208	16	63
209	16	63
210	17	63
211	17	63
212	17	63
213	17	63
214	17	63
215	17	63
216	17	63
217	17	63
218	17	63
219	17	63
220	17	63
221	17	63
222	18	63
223	18	63
224	18	62
225	18	62
226	18	62
227	18	62
228	18	62
229	18	62
230	18	62
231	18	62
232	19	62
233	19	62
234	19	62
235	19	62
236	19	62
237	19	62
238	19	62
239	19	62
240	19	62
241	19	62
242	20	62
243	20	62
244	20	62
245	20	62
246	20	62
247	20	62
248	20	62
249	20	61
250	20	61
251	20	61
252	20	61
253	21	61
254	21	61
255	21	61
256	21	61
257	21	61
258	21	61
259	21	61
260	21	61
261	21	61
262	21	61
263	21	61
264	21	61
265	22	60
266	22	60
267	22	60
268	22	60
269	22	60
270	22	60
271	22	60
272	22	60
273	22	60
274	22	60
275	22	60
276	23	60
277	23	60
278	23	60
279	23	60
280	23	60
281	23	59
282	23	59
283	23	59
284	23	59
285	23	59
286	23	59
287	24	59
288	24	59
289	24	59
290	24	59
291	24	59
292	24	59
293	24	59
294	24	59
295	24	58
296	24	58
297	24	58
298	25	58
299	25	58
300	25	58
301	25	58
302	25	58
303	25	58
304	25	58
305	25	58
306	25	58
307	25	58
308	25	57
309	26	57
310	26	57
311	26	57
312	26	57
313	26	57
314	26	57
315	26	57
316	26	57
317	26	57
318	26	57
319	26	57
320	26	57
321	27	57
322	27	56
323	27	56
324	27	56
325	27	56
326	27	56
327	27	56
328	27	56
329	27	56
330	27	56
331	27	56
332	28	56
333	28	56
334	28	55
335	28	55
336	28	55
337	28	55
338	28	55
339	28	55
340	28	55
341	28	55
342	28	55
343	28	55
344	29	55
345	29	55
346	29	55
347	29	54
348	29	54
349	29	54
350	29	54
351	29	54
352	29	54
353	29	54
354	29	54
355	30	54
356	30	54
357	30	54
358	30	54
359	30	54
360	30	53
361	30	53
362	30	53
363	30	53
364	30	53
365	30	53
366	31	53
367	31	53
368	31	53
369	31	53
370	31	53
371	31	53
372	31	53
373	31	52
374	31	52
375	31	52
376	31	52
377	32	52
378	32	52
379	32	52
380	32	52
381	32	52
382	32	52
383	32	52
384	32	52
385	32	52
386	32	51
387	32	51
388	32	51
389	33	51
390	33	51
391	33	51
392	33	51
393	33	51
394	33	51
395	33	51
396	33	51
397	33	51
398	33	51
399	33	50
400	34	50
401	34	50
402	34	50
403	34	50
404	34	50
405	34	50
406	34	50
407	34	50
408	34	50
409	34	50
410	34	50
411	35	50
412	35	49
413	35	49
414	35	49
415	35	49
416	35	49
417	35	49
418	35	49
419	35	49
420	35	49
421	35	49
422	36	49
423	36	49
424	36	48
425	36	48
426	36	48
427	36	48
428	36	48
429	36	48
430	36	48
431	36	48
432	36	48
433	37	48
434	37	48
435	37	48
436	37	48
437	37	47
438	37	47
439	37	47
440	37	47
441	37	47
442	37	47
443	37	47
444	37	47
445	38	47
446	38	47
447	38	47
448	38	47
449	38	46
450	38	46
451	38	46
452	38	46
453	38	46
454	38	46
455	38	46
456	39	46
457	39	46
458	39	46
459	39	46
460	39	46
461	39	45
462	39	45
463	39	45
464	39	45
465	39	45
466	39	45
467	39	45
468	40	45
469	40	45
470	40	45
471	40	45
472	40	45
473	40	44
474	40	44
475	40	44
476	40	44
477	40	44
478	40	44
479	41	44
480	41	44
481	41	44
482	41	44
483	41	44
484	41	44
485	41	44
486	41	43
487	41	43
488	41	43
489	41	43
490	42	43
491	42	43
492	42	43
493	42	43
494	42	43
495	42	43
496	42	43
497	42	43
498	42	42
499	42	42
500	42	42
501	43	42
502	43	42
503	43	42
504	43	42
505	43	42
506	43	42
507	43	42
508	43	42
509	43	42
510	43	41
511	43	41
512	44	41
513	44	41
514	44	41
515	44	41
516	44	41
517	44	41
518	44	41
519	44	41
520	44	41
521	44	41
522	44	41
523	45	40
524	45	40
525	45	40
526	45	40
527	45	40
528	45	40
529	45	40
530	45	40
531	45	40
532	45	40
533	45	40
