item_id,date,predicted,actual,error,MAPE,Accuracy
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,12-02-2024,0,0,0,0,1
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,13-02-2024,0,0,0,0,1
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,14-02-2024,0,0,0,0,1
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,15-02-2024,0,0,0,0,1
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,16-02-2024,0,0,0,0,1
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,17-02-2024,0,0,0,0,1
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,18-02-2024,0,0,0,0,1
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,12-02-2024,0,0,0,0.020408163,0.979591837
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,13-02-2024,0,0,0,0.020408163,0.979591837
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,14-02-2024,24,21,0.142857143,0.020408163,0.979591837
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,15-02-2024,0,0,0,0.020408163,0.979591837
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,16-02-2024,0,0,0,0.020408163,0.979591837
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,17-02-2024,0,0,0,0.020408163,0.979591837
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,18-02-2024,0,0,0,0.020408163,0.979591837
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,12-02-2024,60,65,0.076923077,0.03250925,0.96749075
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,13-02-2024,69,69,0,0.03250925,0.96749075
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,14-02-2024,68,63,0.079365079,0.03250925,0.96749075
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,15-02-2024,63,60,0.05,0.03250925,0.96749075
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,16-02-2024,46,47,0.021276596,0.03250925,0.96749075
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,17-02-2024,0,0,0,0.03250925,0.96749075
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,18-02-2024,0,0,0,0.03250925,0.96749075
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,12-02-2024,26,26,0,0.033847132,0.966152868
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,13-02-2024,30,29,0.034482759,0.033847132,0.966152868
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,14-02-2024,33,29,0.137931034,0.033847132,0.966152868
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,15-02-2024,29,31,0.064516129,0.033847132,0.966152868
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,16-02-2024,0,0,0,0.033847132,0.966152868
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,17-02-2024,0,0,0,0.033847132,0.966152868
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,18-02-2024,0,0,0,0.033847132,0.966152868
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f21,12-02-2024,21,21,0,0.043290043,0.956709957
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f21,13-02-2024,24,24,0,0.043290043,0.956709957
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f21,14-02-2024,29,33,0.121212121,0.043290043,0.956709957
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f21,15-02-2024,26,22,0.181818182,0.043290043,0.956709957
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f21,16-02-2024,22,22,0,0.043290043,0.956709957
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f21,17-02-2024,0,0,0,0.043290043,0.956709957
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f21,18-02-2024,0,0,0,0.043290043,0.956709957
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b16,12-02-2024,49,52,0.057692308,0.046176845,0.953823155
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b16,13-02-2024,53,48,0.104166667,0.046176845,0.953823155
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b16,14-02-2024,52,56,0.071428571,0.046176845,0.953823155
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b16,15-02-2024,49,52,0.057692308,0.046176845,0.953823155
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b16,16-02-2024,30,31,0.032258065,0.046176845,0.953823155
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b16,17-02-2024,0,0,0,0.046176845,0.953823155
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b16,18-02-2024,0,0,0,0.046176845,0.953823155
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b1d,12-02-2024,17,17,0,0.047046187,0.952953813
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b1d,13-02-2024,22,20,0.1,0.047046187,0.952953813
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b1d,14-02-2024,23,23,0,0.047046187,0.952953813
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b1d,15-02-2024,22,19,0.157894737,0.047046187,0.952953813
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b1d,16-02-2024,13,14,0.071428571,0.047046187,0.952953813
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b1d,17-02-2024,0,0,0,0.047046187,0.952953813
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b1d,18-02-2024,0,0,0,0.047046187,0.952953813
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b21,12-02-2024,5,6,0.166666667,0.047619048,0.952380952
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b21,13-02-2024,7,6,0.166666667,0.047619048,0.952380952
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b21,14-02-2024,7,7,0,0.047619048,0.952380952
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b21,15-02-2024,7,7,0,0.047619048,0.952380952
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b21,16-02-2024,5,5,0,0.047619048,0.952380952
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b21,17-02-2024,0,0,0,0.047619048,0.952380952
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b21,18-02-2024,0,0,0,0.047619048,0.952380952
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b2d,12-02-2024,37,42,0.119047619,0.048502208,0.951497792
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b2d,13-02-2024,46,45,0.022222222,0.048502208,0.951497792
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b2d,14-02-2024,46,45,0.022222222,0.048502208,0.951497792
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b2d,15-02-2024,43,45,0.044444444,0.048502208,0.951497792
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b2d,16-02-2024,33,38,0.131578947,0.048502208,0.951497792
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b2d,17-02-2024,0,0,0,0.048502208,0.951497792
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65ae14b78d7d8f001be02b2d,18-02-2024,0,0,0,0.048502208,0.951497792
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f04,12-02-2024,186,206,0.097087379,0.049052051,0.950947949
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f04,13-02-2024,195,178,0.095505618,0.049052051,0.950947949
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f04,14-02-2024,184,178,0.033707865,0.049052051,0.950947949
5e454d189475ce03ce996662_5e46386d820a5c0b7762703a_65b8bd6d4a13070017386f04,15-02-2024,176,168,0.047619048,0.049052051,0.950947949
