,foodcourt,restaurant,restaurantmenuitem,average_sales,rank,sales_segment,rank_segment
0,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c5b,111.0,44,>100,1-100
1,5b964b50a6fb5422abb2fda7,5b964a709153de1766fcf94c,65774ecf4fb51d001be77c77,71.76470588235294,101,50-75,100-200
2,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f17,65.91666666666667,119,50-75,100-200
3,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f1e,24.583333333333332,327,10-25,300-400
4,5b964b50a6fb5422abb2fda7,5c406ac021301e2fa8093d09,646b51e03d50300018af7f21,220.46153846153845,10,>100,1-100
5,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b16,20.0,404,10-25,400-500
6,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b1d,40.5,199,25-50,100-200
7,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b21,56.833333333333336,142,50-75,100-200
8,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ae14b78d7d8f001be02b2d,33.5,228,25-50,200-300
9,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f04,19.5,412,10-25,400-500
10,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6d4a13070017386f0e,46.0,174,25-50,100-200
11,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65b8bd6e4a13070017386f2d,43.0,184,25-50,100-200
12,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225a,57.75,140,50-75,100-200
13,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b42225b,43.285714285714285,182,25-50,100-200
14,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422294,41.285714285714285,193,25-50,100-200
15,5e454d189475ce03ce996662,5e46386d820a5c0b7762703a,65ba1cb24314c6001b422298,34.0,224,25-50,200-300
16,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c4c,5.111111111111111,799,<10,>500
17,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c5c,4.882352941176471,809,<10,>500
18,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,6.166666666666667,739,<10,>500
19,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,3.6923076923076925,880,<10,>500
20,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b62e,8.38888888888889,656,<10,>500
21,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b630,2.823529411764706,923,<10,>500
22,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b63a,2.7222222222222223,933,<10,>500
23,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b647,4.066666666666666,857,<10,>500
24,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b648,5.555555555555555,767,<10,>500
25,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b652,5.588235294117647,766,<10,>500
26,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b653,3.923076923076923,867,<10,>500
27,5f3652cde091b809e2467d96,6004167c1595960a72f31707,643fbd6ff639e90017a2379c,26.333333333333332,300,25-50,200-300
28,5f3652cde091b809e2467d96,6004167c1595960a72f31707,643fbd6ff639e90017a237a0,25.736842105263158,310,25-50,300-400
29,5f3652cde091b809e2467d96,6004167c1595960a72f31707,643fbd70f639e90017a237ab,3.230769230769231,905,<10,>500
30,5f3652cde091b809e2467d96,6004167c1595960a72f31707,647d8c7fb733e9001b5027fc,9.777777777777779,623,<10,>500
31,5f3652cde091b809e2467d96,6004167c1595960a72f31707,647d8c7fb733e9001b502809,15.933333333333334,478,10-25,400-500
32,5f3652cde091b809e2467d96,60599bd4b6dfef46f7241fef,646deaeddab717001b948d4f,14.076923076923077,508,10-25,>500
33,5f3652cde091b809e2467d96,60599bd4b6dfef46f7241fef,646deaeddab717001b948d53,51.388888888888886,154,50-75,100-200
34,5f3652cde091b809e2467d96,60599bd4b6dfef46f7241fef,646deaeedab717001b948d7a,29.066666666666666,256,25-50,200-300
35,5f3652cde091b809e2467d96,60599bd4b6dfef46f7241fef,646deaeedab717001b948dc1,32.0,237,25-50,200-300
36,5f3652cde091b809e2467d96,6296dc1c8eeb0973341fc168,646de6dbdab717001b948cfc,21.0,381,10-25,300-400
37,5f3652cde091b809e2467d96,6296dc1c8eeb0973341fc168,647b5a87b733e9001b501ce3,24.0,330,10-25,300-400
38,5f3652cde091b809e2467d96,629b32fde44c8e62a76400f7,64259a97c2b9d60017dbf0ca,22.214285714285715,357,10-25,300-400
39,5f3652cde091b809e2467d96,629b32fde44c8e62a76400f7,64259a97c2b9d60017dbf0dc,6.882352941176471,708,<10,>500
