item_id,date,predicted,actual,error,MAPE,Accuracy
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-01-29,24,0.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-01-30,7,0.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-01-31,0,0.0,0.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-01,1,0.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-02,0,37.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-03,0,33.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c5b,2024-02-04,0,11.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-01-29,98,0.0,1.0,0.9895470383275261,0.010452961672473893
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-01-30,110,0.0,1.0,0.9895470383275261,0.010452961672473893
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-01-31,85,0.0,1.0,0.9895470383275261,0.010452961672473893
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-01,59,0.0,1.0,0.9895470383275261,0.010452961672473893
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-02,3,41.0,0.926829268292683,0.9895470383275261,0.010452961672473893
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-03,0,73.0,1.0,0.9895470383275261,0.010452961672473893
5b964b50a6fb5422abb2fda7_5b964a709153de1766fcf94c_65774ecf4fb51d001be77c77,2024-02-04,0,29.0,1.0,0.9895470383275261,0.010452961672473893
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-01-29,68,0.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-01-30,51,0.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-01-31,0,0.0,0.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-01,0,13.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-02,0,42.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-03,0,45.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f17,2024-02-04,0,26.0,1.0,0.8571428571428571,0.1428571428571429
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-01-29,12,0.0,1.0,0.9747899159663865,0.025210084033613467
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-01-30,12,0.0,1.0,0.9747899159663865,0.025210084033613467
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-01-31,12,0.0,1.0,0.9747899159663865,0.025210084033613467
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-02-01,2,0.0,1.0,0.9747899159663865,0.025210084033613467
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-02-02,3,17.0,0.8235294117647058,0.9747899159663865,0.025210084033613467
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-02-03,0,20.0,1.0,0.9747899159663865,0.025210084033613467
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f1e,2024-02-04,0,15.0,1.0,0.9747899159663865,0.025210084033613467
5b964b50a6fb5422abb2fda7_5c406ac021301e2fa8093d09_646b51e03d50300018af7f21,2024-01-29,139,0.0,1.0,0.9953917050691244,0.004608294930875556
